Nome	nif	concelho	contacto
Karen Cuevas MD	200654391	Pombal	909629685
Tonya Rogers	247225755	Estremoz	919857895
Ashley Ramirez	251470122	Praia da Vitoria	988121795
Richard Townsend	280596027	Santiago do Cacem	968066215
Shawn Jackson	272431528	Seixal	977944448
Michael Petersen	242265320	Mirandela	947154455
Megan Ross	204595176	Macedo de Cavaleiros	940949986
William Sandoval	240059731	Agualva-Cacem	999333210
Catherine Stafford	254202154	Aveiro	906649799
Anna Good	253625878	Loures	902722707
Sydney Olsen	259198199	Vale de Cambra	965613122
Aaron Wells	299900594	Setubal	998508772
Christopher Guerra	258129855	Oliveira do Hospital	995225796
Norman Smith	254733746	Amarante	974582602
Samantha Cain	269354224	Esmoriz	978072467
Daniel Roberson	236357320	Trancoso	906378073
Brittany Rogers	266096144	Alverca do Ribatejo	952067952
Mrs. Karen Wang	264589059	Ponta Delgada	975151023
Jacob Chase	210154363	Vila Nova de Santo Andre	930544955
Angela Newton	203424160	Ourem	928984763
Lisa Silva	276268456	evora	946015205
Jared Graham	218185548	Sabugal	998301223
Miss Ann Kim	271176972	Montijo	998946571
Brandon Shepard	276772370	Cartaxo	954705817
Virginia Marshall	281874706	Almeirim	982267741
Lydia Lee	272318789	Lagoa	968769717
Regina Goodwin	286662393	Agualva-Cacem	918559979
Jeffrey Stewart	264459592	Loures	955575137
Karen Wiggins	253914704	Peniche	992036616
Richard Lewis	233036217	Faro	960592949
Shelby Young	232374847	Vila Franca de Xira	951481484
Ashley Smith	246415802	Castelo Branco	993384143
Toni Davidson	255098412	Fatima	953031473
Jacob Levine	292192586	Alcobaca	942107742
Laura Walker	242943182	Peniche	925487256
Rachael White	213794963	Moura	937663147
Amber Mitchell	210172260	Paredes	962805605
Stephen Perry	234240424	Alverca do Ribatejo	947055077
Jason Kelly	220276384	Peniche	920614925
Adam Russell	259255057	Setubal	940913970
Jesse Thompson	268979542	ilhavo	966151063
Matthew Richmond	292765220	Costa da Caparica	976328250
Linda Scott	250498126	Almada	969733728
Jacob Hunt	242819638	Coimbra	929765013
Victoria Hardy	294299598	Alcobaca	979888207
Richard Burton	209285142	Ourem	925141551
Alan Sullivan	284994320	Barreiro	994049557
Vanessa Warner	239979283	Vila Nova de Santo Andre	997252271
Katherine Cook	238312022	Lagoa	952974926
Stephen White	253657579	Matosinhos	921255928
Marissa Allen	271539562	Porto	972565901
Andrew Odom	255712703	Odivelas	933964251
Miss Melanie Williams	254404200	Gandra	900599591
Bradley Evans	260990550	Abrantes	908086808
Glenda Mullins	224782473	Vila Nova de Santo Andre	999994187
Brittany Flores	283032659	Porto	977433899
Michael Matthews	249433966	ilhavo	961774399
Kara Phillips	273661680	Ribeira Grande	901082343
Robert Turner	289572750	Tavira	932511604
Jason Madden	243444022	Guimaraes	966441061
Glenda Ortiz	245293276	Freamunde	981194587
Richard Sosa	289247200	Miranda do Douro / Miranda de l Douro	943022268
Emily Lee	229974719	Horta	910565345
Shawn Jackson	289975868	Rio maior	915873216
Paul Simmons	224266904	Albergaria-a-Velha	936110333
Randall Hicks	262258958	Ourem	954099277
Jennifer Hanson	208701086	Guarda	971149611
Taylor Morris	202506682	Horta	996543163
Kayla Stanley	295164091	Moura	904911585
Gina Tran	238434733	Caldas da Rainha	966060387
Austin Dennis	226693601	Mangualde	945953986
Allen Huerta	242754670	Sacavem	995232080
Kelsey Hernandez	272269830	Guimaraes	940180940
Megan Butler	253584594	Vila Nova de Famalicao	993223979
Kathleen Sullivan	288082323	Vila Nova de Famalicao	951517459
Shelby Vaughn PhD	286408581	Castelo Branco	962859206
Sandy Murray	235346774	Gouveia	992804721
Daniel Hutchinson	279673392	Viseu	953930753
Margaret White	297212823	Sines	934204113
Travis Cummings	299482802	Santiago do Cacem	967437579
Mark Gutierrez	248600474	Beja	946169603
Dana Jones	281161856	Quarteira	987162358
Elizabeth Thompson	212741263	Povoa de Varzim	950037209
Dr. Jacqueline Parker	246487920	Gafanha da Nazare	986090314
Charles Gonzales	285769181	Vila Nova de Santo Andre	957292341
Danielle Tapia	288300269	Mirandela	927859669
Victoria Martin	243064672	Olhao da Restauracao	992802682
Kristina Mendoza	278157853	Abrantes	963602102
Jamie Wilcox	289929944	Paredes	951353086
Brent Williams	225515482	Sao Joao da Madeira	958349040
David Shaw	221677388	Sines	901945062
Andrea Thomas	299789085	Sao Mamede de Infesta	963422874
Brian Donaldson	265738639	Alcacer do Sal	923457268
Frank Tucker	241389024	Santiago do Cacem	906492429
Warren Graham MD	282879711	Guimaraes	964126955
Daniel Silva	289503331	Borba	999871210
Bonnie Riley	282715328	Loule	908867198
Daniel Ferguson	215335411	Leiria	940714203
Kevin Parker	277065185	Pacos de Ferreira	986976703
Rick Rodriguez	202488869	Espinho	958055109
Brenda Curtis	225007333	Santa Maria da Feira	900116440
Douglas Doyle	234230532	Portimao	982582583
Amy Parks	273751614	Samora Correia	977435258
Christopher Garcia	280836745	Ermesinde	945207986
Amy Sheppard	257296114	Montemor-o-Novo	913060845
Katherine Powell	283158319	Chaves	981036959
Melanie Davis	292053362	Guarda	984203212
Theresa Smith	217416005	Santiago do Cacem	955796718
Angela Clark	258167682	Sao Salvador de Lordelo	904465910
Ethan Taylor	202769758	Peniche	964946929
Louis Mcclure	219132832	Vila Real	912825785
Sarah Warren	246472445	Camara de Lobos	911055169
Juan Floyd	207816339	Tarouca	967897056
Ashley Burns	207253800	Guarda	962075666
Alexander Miller	243360435	Mealhada	920926379
Natasha Ford	205744195	Peniche	970562526
George Schmidt	288060951	Castelo Branco	967597392
Ms. Misty Stephens	228332043	Marco de Canaveses	983424262
Kevin Peterson	254505461	Praia da Vitoria	921511969
Martin Valentine	240345704	Reguengos de Monsaraz	963143238
Michael Barnes	274995465	Esposende	940200963
Christopher Jimenez	296709940	Matosinhos	913142687
Chad Mitchell	281631151	Rebordosa	952661090
Timothy Rodriguez	277075307	Alfena	970218542
Carl West	201738906	Esposende	925296140
Larry Barber	238492618	Torres Vedras	958118432
Edward Jones	243432173	Mirandela	916968842
Vincent Gonzalez	240257558	Vale de Cambra	936995591
Joshua Frost	205757234	Montijo	906886334
David Summers Jr.	241339315	Fatima	970480130
Tammy Camacho	212270040	Anadia	952933165
Meghan Carter	241616798	ilhavo	981473345
Lauren Macias	226080614	Horta	998198022
Barbara Solis	299238678	Fatima	912072612
Brenda Lee	259769524	Ponte de Sor	939991996
Oscar Smith	258307853	Gouveia	937655556
Sabrina Glenn	239280505	Loures	920866888
Lynn Erickson	208507522	Santa Maria da Feira	942040728
Amanda Andrews	207252571	Machico	969951609
Andrew Garcia	207847223	Camara de Lobos	938283594
Cynthia Gilmore	208656975	Rio Tinto	970180940
Kyle Butler	233113716	Tomar	978785634
Diane Wright	263030662	agueda	907596704
Jasmine Cunningham	220291781	Pacos de Ferreira	926918704
Jose Taylor	275048966	Quarteira	983091195
Colton Roman	239614022	Alfena	929003737
Albert Cooper	236960978	Vale de Cambra	983744668
Jessica Hamilton	256257267	Vila Nova de Famalicao	917221725
Stephen Newman	236850226	Lamego	949216671
Scott Barnes	282383598	Ponta Delgada	970651515
Darrell Patterson	210992157	Almada	986844525
Melissa Gonzalez	221859114	Viseu	981897102
Heather Alexander	292862550	Lourosa	909564004
Steven Barrett	207201728	Pombal	960886826
Jonathan King	271788486	Cartaxo	979711991
John Miller	274929877	Chaves	922408766
Russell Gibbs	277681840	Povoa de Varzim	983930060
Emily Hill	201959167	Montijo	913848781
Nicole Buckley	262329084	Fiaes	902572657
Danny Griffin	247225836	Santa Comba Dao	983639833
Leah Smith	214430213	Guimaraes	954140367
Mrs. Mary Floyd	266259952	Quarteira	996385365
Kayla Torres	264981917	Fundao	947055022
Louis Lewis	291550076	Pacos de Ferreira	987482785
Charlotte York	296275186	Vila Real de Santo Antonio	952072423
Joshua Lopez	244005546	Mealhada	989224219
Alexander Harrington	285343679	Santana	944483447
Paula Jarvis	286323048	Tavira	936306315
Stephanie Perkins	240379532	Montemor-o-Novo	940757379
Aaron Floyd	255901751	Torres Vedras	962313286
Richard Sanders	294620469	Lagoa	906834572
James Elliott	237979153	Vizela	947329437
Jimmy Cruz	224090504	Beja	945412444
Amy Weaver	246104074	Entroncamento	916974915
Joann Rodriguez	253601891	Ovar	909971780
Melanie Carter	204847679	Meda	985481680
Michael Sutton	299110369	Trofa	952616166
Kenneth Ruiz	249716332	Freamunde	971817290
Jordan Mann	201165643	Tomar	914038652
Daniel Jones	229448398	Montijo	959711407
Courtney Powell	221282050	Valpacos	948075857
Marc Smith	201974914	evora	990636030
Deborah Rogers	230314018	Alverca do Ribatejo	999119143
Andrea Wheeler	210503820	Ribeira Grande	940447265
Earl Williams	233106845	Covilha	944267514
Nichole Payne	242488404	Braganca	950909864
Travis Baker	271944413	Montemor-o-Novo	939273926
Renee Tate	291338614	Gafanha da Nazare	963747259
Christina Anderson	272401905	Oliveira de Azemeis	921913892
James Christensen	255104142	Lixa	994682557
Jay Wilson	202243794	Estarreja	902994776
Samantha Brewer	213685139	Borba	973049236
Tina Turner	279831285	Guarda	903584183
Sheila Simmons	204074435	Santo Tirso	961793137
Monica Hanson	246093320	Porto	987882950
Tiffany Edwards	251864130	Amarante	909090490
Nicole Best	270123384	Valongo	941527114
Ronald Walker	225345107	Vila Baleira	910589159
Keith Watson	236366238	Vila Nova de Gaia	977464483
Blake Williams	266008217	Valpacos	940136237
Michelle Adams	215587433	Porto	950716898
Michael Nelson	273349892	Angra do Heroismo	937326433
Jimmy Adams	293722955	Senhora da Hora	994885817
Sandra Holmes	258210399	Fundao	947522693
Sara Romero	298361662	Esposende	946915890
Jacob Brown	260808914	Santa Cruz	985622650
Lance Brewer	233632535	Gouveia	983634451
Jason Hawkins	247878592	Sao Mamede de Infesta	936683456
Robert Williamson	261945034	Valbom	999529651
Chad Ballard	275161282	Tondela	975652286
Debra Valdez	264453239	Gandra	916539481
Anthony Townsend	205186272	Trancoso	998903853
Diana Bradley	217054840	Peso da Regua	927967701
William Moss	227267467	Esposende	968096900
James Harris	245917106	Vila Real	908160635
Brandon Hill	235724350	Quarteira	920191888
Seth Harrell	236146633	Gondomar	903437093
Jeffrey Aguilar	218736232	Albergaria-a-Velha	923247055
Matthew Adams	207237072	Machico	941872102
Margaret Jones DDS	258905471	Viseu	930170316
Laura Patterson	221878186	Guarda	962620522
Alejandro Fowler	235904559	Seixal	973388206
Heather Medina	238763933	evora	979158856
David Jensen	257661856	Beja	988571405
Jonathon Harris	256829968	Funchal	971347438
Shawn Thompson	247616966	Valenca	995322616
Laura Taylor	291772374	Caldas da Rainha	964007320
Ashley Williams	287891894	Sao Joao da Madeira	905074504
Rachel Williams	279024199	Praia da Vitoria	928695069
Sergio Garcia	243259190	Reguengos de Monsaraz	953028180
Brett Cruz	296900279	Vila Real	918061911
Thomas Nunez	231449728	Santa Cruz	961377803
Thomas Bailey	224091149	Covilha	979209909
Bonnie Stanley	247499714	Setubal	914196253
Katherine Lopez	241115053	Povoa de Santa Iria	939098751
Alexis Hurst	202896378	Praia da Vitoria	974048164
Jessica Burke	223950463	Castelo Branco	981953288
Stephen Guzman	291907430	Guarda	920822285
Jessica Ferguson	291203223	Lamego	980219333
Chase Marquez	271907835	Vila Nova de Santo Andre	941250694
Rachel Griffin	232571418	Olhao da Restauracao	942857101
Ashley Ward	288462903	Viana do Castelo	905250656
Tiffany Phillips	284012290	Vila do Conde	923793977
Scott Johnson	291642794	Castelo Branco	945898454
Stephanie Gonzalez	264138323	Figueira da Foz	996976320
Deborah Simpson	235201539	Almeirim	985301580
Tracy Miller	268938512	Samora Correia	922529661
Kimberly Crawford	225839342	Estremoz	937059219
Warren Craig	266919260	Lisboa	934107589
Frank Williams	232966401	Sao Joao da Madeira	980560860
Stephanie Bryan	268445917	Alcobaca	905456438
Dennis Hodges	276876875	Loures	939589263
Tammy Aguirre	206827662	Amora	925326973
Frank Reese	270949530	Vendas Novas	954692283
Jason Powell	201586744	Figueira da Foz	979301400
Valerie Davis	250393328	Valenca	943870541
Ricky Phillips DDS	221929021	Povoa de Varzim	995004627
Judy Barnett	214434230	Almada	914561995
Taylor Young	299276667	Queluz	919478925
Mary Perez	249978620	Moura	971123105
Pamela Russell	298307999	Vila Baleira	977453089
Deanna Wilson	259493284	Vila Real	990558283
Alexandra Tanner	217321207	Leiria	988479754
Emily King	296977099	Santana	929632753
Christopher Hernandez	252412073	Covilha	995667057
Denise Stewart	280192765	Vila Nova de Foz Coa	905901116
Melinda White	223498393	Fatima	960193241
Timothy Wong	292343573	Alverca do Ribatejo	931617811
Troy Chapman	250839730	Anadia	923682814
Amanda Velasquez	200863178	Portalegre	958169217
Kelly Peters	242578711	Vila Nova de Famalicao	970129598
Stacey Marshall	296211207	Queluz	972809505
Monica Torres	297918249	Pacos de Ferreira	961035795
Joshua Morris	219278224	Tarouca	904937129
Todd Joyce	237135239	Mealhada	922081078
John Ortiz	245781622	Covilha	957630271
Jacob Barrett Jr.	219926843	Covilha	915806660
Rhonda Vang	272005902	Portimao	964609775
Lisa Williams	233711918	Ovar	949051463
Karla Jordan	271723513	Valpacos	953975116
Stephanie Mcdaniel	201004230	Canico	942749825
Jodi Johnson	276879676	Alcobaca	937970203
Megan Myers	277971646	Amora	924039653
Dr. Steven Hampton	229701418	Vila Baleira	991536724
Brian Waters MD	251789772	Barcelos	949151088
Jeffrey Baker	238114344	Almeirim	933882064
Peter Moran	263002856	Funchal	986724692
Daniel Hughes	247797500	Lagoa	943931483
Chelsea Tate	289933430	Castelo Branco	920905668
James Hogan	214012566	Braganca	947137517
Edward Cherry	230647075	Valongo	916998150
Jeffrey Harvey	267587375	Montijo	919780915
John Jackson	211382986	Vila do Conde	907482976
Wendy Sullivan	253470420	Almada	929307506
Claire Castillo	271267599	Almeirim	900520625
John Morrison	268065187	Estarreja	987701409
Rebecca Decker	207091036	Machico	949329875
Stacey Allen	281619359	Alcobaca	996049782
Thomas Hudson	237847109	Angra do Heroismo	958401563
Ruth Wilcox	258474077	Serpa	939811056
Kenneth Jones DVM	298028191	Rio maior	960880824
John Davis	290324489	Elvas	906901310
Lisa Johnston	208097241	Caldas da Rainha	934638133
Amy Patel	291910738	Povoa de Varzim	999569422
Brian Thornton	299966056	Rio maior	979346251
Alyssa Jones	295297113	Moura	945499367
Ronald Mills	250121711	Tavira	975150264
Tyler Martinez	210502358	Sao Joao da Madeira	914007824
Philip Martinez	259731425	Marco de Canaveses	932640177
Andrew Smith	289601831	Horta	986210706
John Miller	238593123	Ermesinde	936173320
Jeremy Taylor	263981390	Estarreja	989694272
Beverly Frederick	227367482	Santana	924780319
Donna Burke	267926102	Vila Franca de Xira	917635224
Eric Dawson	249782412	Caldas da Rainha	915315270
Kari Hansen	220989126	Oliveira de Azemeis	982549015
Jessica Peterson	240163245	Sao Pedro do Sul	946083811
John Morris	230949066	Barcelos	954927627
Rodney Cole	231176710	Loule	986291008
Cassandra Meyer	249476099	Loures	981078560
William Meyer	262092836	Loule	924265206
Calvin Johnson	206485125	Almeirim	984947866
Vincent Copeland	204426088	Loures	938186799
Dr. James Stephenson DDS	258607901	Mangualde	984982030
Whitney Oneal	248815755	Vila Nova de Famalicao	946437610
Dylan Dickerson	293445742	Lamego	944233136
Michelle Douglas	279532621	Mealhada	960715597
Christopher Mann	227973804	Vila Baleira	927938871
Robert Mendoza	247697958	Torres Novas	973558120
Jeffrey Bell	238513607	Quarteira	944124978
Johnny Cox	256710324	Santarem	929473802
Brandy Baker	222048222	Viseu	911171571
Courtney Sharp	283035576	Vale de Cambra	909676501
Mr. Andrew Richards	281411533	Horta	949876238
Steven Brown	203211363	Ribeira Grande	980376548
James Robinson	236673160	Vila Nova de Famalicao	996726798
Keith Alvarez	290330292	Alverca do Ribatejo	958743308
Donald Adams	207094081	Funchal	918794278
Eric Landry	243381101	Montijo	901670443
Rebecca Lawrence	225550770	Pinhel	920524446
Sierra Fletcher	254564961	Castelo Branco	951443116
Jacob Martinez	276790949	Horta	959201762
Amber Robinson	277885379	Macedo de Cavaleiros	974225950
Nathaniel Hogan	281394133	Moura	930687653
Cynthia Brown	226407193	Vila Nova de Santo Andre	988430619
Chase Berry MD	200480712	Marco de Canaveses	937031378
Daniel Yoder	273714417	Mangualde	908224979
Lori Bruce	251525999	Queluz	958307916
Haley Richardson	207789969	Angra do Heroismo	993053724
Heather Nelson	240497823	Serpa	966443506
Lisa Smith	267747865	Peniche	987009808
Gwendolyn Jacobs	201759159	Sines	930691658
Joseph Moore	244902161	Paredes	983957844
Heather Medina	274251920	Elvas	997153753
Mr. Carl Murphy	254451856	Gandra	933219595
Ricky Cross	247897368	Paredes	942312360
Crystal Duran	215031084	Praia da Vitoria	952711097
Thomas Clark	259352920	Gondomar	934634700
Joshua Vega	277132940	Tomar	947272200
Austin Morton	284702444	Ovar	983901737
Theresa Parker	282490279	Barreiro	933764867
Tracey Harper	281997956	Guimaraes	962874028
Tracy Davis	235106698	Lourosa	968644171
Paul York	205973272	Ermesinde	900730977
Alexander Woods	256305997	Lourosa	991156337
Cindy Davis	210848140	Santarem	910827358
Michael Hernandez	282125894	Machico	900003043
Julia Harris	277543886	Estremoz	964309178
Steven Hamilton	230421270	Setubal	924547378
Lisa Williams	235264824	Alverca do Ribatejo	916819113
Luke Mcknight	210312254	Lagoa	992554169
Lori Sullivan	246403045	Fafe	951935650
William Tucker	250673900	Alverca do Ribatejo	927142276
Jamie Torres	257594017	Viana do Castelo	980371884
Peter Williams	274540360	Viseu	902727738
Patricia Green	273707393	Ribeira Grande	922332145
Larry Miller	277629506	Almada	924624575
Christopher Valdez	259756388	Espinho	937331822
William Anderson	203298224	Santa Cruz	917511103
Rodney Graham	295360113	Vila Nova de Santo Andre	997391256
Christopher Martinez	299999278	Moura	964772656
Tyler Guzman	294791430	Mangualde	927223527
Kathleen Lee	281351220	Amora	968003048
William Patterson	264508786	Lagoa	907921344
